t;B1;B2;B3;B4;B5;B6;B7;B8;B9
0.54;0.9840785548955397;1.077720670928846;0.9550665371364493;0.7989138693642011;0.7295993183410115;0.6350649940320696;0.984689331013783;0.887294626504074;0.8471686668533598
0.55;0.9905203106802452;1.0819879343557617;0.9613207027048496;0.8067848649032421;0.7367874185858098;0.6452347653249304;0.989622978838388;0.893094682137238;0.8545810087639147
0.56;0.9973186081428632;1.0869026134300928;0.9684548280529195;0.8154004397176872;0.7446554976776619;0.6567428733510633;0.9955011217091342;0.9000701831117413;0.8632390704055458
0.57;1.004486862676721;1.0924795061548314;0.9764949451124705;0.8247940669570486;0.7532341246027919;0.6696295204396215;1.0023438832394105;0.9082448966067013;0.8731732710075073
0.58;1.0120390112572655;1.0987288426705262;0.9854623370450285;0.8350004242181779;0.762554968295731;0.6839327036262298;1.010164221835128;0.9176335341121499;0.8844066258783659
0.59;1.0199882631846642;1.105656158307985;0.9953732673243754;0.8460531066562161;0.7726487091630037;0.6996850537043693;1.0189676825280602;0.9282413554663248;0.8969538280704239
0.6;1.0283455237745935;1.1132620499895405;1.0062385250669335;0.857981788842357;0.7835424471808967;0.7169100768371826;1.0287520096799057;0.9400636128979283;0.9108200441104686
0.61;1.0371174700842247;1.1215417575956117;1.018062666526239;0.8708088209396724;0.7952565933904092;0.7356178219955468;1.0395065354449566;0.9530847261779262;0.9259993122677886
0.62;1.0463042731155627;1.1304845088300304;1.0308428245637147;0.8845452749866384;0.8078012592090975;0.7558000288152964;1.051211257190433;0.9672770808741276;0.9424724388009071
0.63;1.0558969849415112;1.1400725666520293;1.0445669574139405;0.8991864992255624;0.8211721964703295;0.7774248498949816;1.063835522769383;0.9825993536485447;0.9602043072713194
0.64;1.065874642124999;1.1502799203261422;1.0592113939027015;0.9147072908652922;0.8353463890018369;0.8004312839097112;1.0773362502078436;0.9989942818617409;0.9791405328119833
